Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min)
Mitron,2018,Hindi,119.1193,Abundantia Entertainment,14-09-2018,"Comedy, Drama",Nitin Kakkar,119
Saina,2021,Hindi,0.05,"T-Series Super Cassettes Industries Ltd., Front Foot Pictures",26-03-2021,"Biographical, Sports",Amole Gupte,133
Game Over,2017,Hindi,0.03,"Dream Machine Pvt. Ltd., Koning Entertainment, Dream International",08-12-2017,"Suspense, Adult, Thriller",Paresh Vinodray Savani,143
Emergency,2025,Hindi,2,"Manikarnika Films, Zee Studios",17-01-2025,"Historical, Drama",Kangana Ranaut,148
3 Storeys,2018,Hindi,0.36,"B4U Motion Pictures, Excel Entertainment, An Open Air Films Production",09-03-2018,"Drama, Romance, Suspense, Thriller",Arjun Mukerjee,100
Metro... In Dino,2025,Hindi,3.35,"T-Series Super Cassettes Industries Ltd., Anurag Basu Productions",04-07-2025,"Romance, Drama",Anurag Basu,162
Trahimam,2022,Hindi,0.005,"Achleshwar Film, Dushyant Corporation",16-12-2022,"Action, Drama",Dushyant Pratap Singh,74
102 Not Out,2018,Hindi,3.52,"Benchmark Pictures, Treetop Entertainment, Sony Pictures",04-05-2018,"Comedy, Drama, Family",Umesh Shukla,102
Evening Shadows,2019,Hindi,0.02,Solaris Pictures,11-01-2019,Drama,Sridhar Rangayan,102
Noor,2017,Hindi,0.02,"T-Series Super Cassettes Industries Ltd., Abundantia Entertainment",21-04-2017,"Drama, Social",Sunhil Sippy,116
Do Aur Do Pyaar,2024,Hindi,0.6,"Applause Entertainment, Ellipsis Entertainment",19-04-2024,"Family, Drama",Shirsha Guha Thakurta,139
Lakadbaggha,2023,Hindi,0.11,First Ray Films,13-01-2023,"Action, Drama",Victor Mukherjee,129
Baar Baar Dekho,2016,Hindi,0.1,"Dharma Productions, Excel Entertainment, Eros International",09-09-2016,Comedy,Nitya Mehra,141
5 Weddings,2018,Hindi,94.943,UniGlobe Entertainment,26-10-2018,"Comedy, Drama",Namrata Singh Gujral,94
I Want to Talk,2024,Hindi,0.2,"Rising Sun Films Production, Kino Works",22-11-2024,"Biographical, Drama",Shoojit Sircar,122
Bharat,2019,Hindi,42.3,"T-Series Super Cassettes Industries Ltd., Salman Khan Films, Reel Life Production Pvt Ltd",05-06-2019,"Family, Drama",Ali Abbas Zafar,167
Ram Setu,2022,Hindi,15.25,"Cape of Good Films, Abundantia Entertainment, Lyca Productions",25-10-2022,"Action, Thriller",Abhishek Sharma,144
Chhichhore,2019,Hindi,7.32,"Nadiadwala Grandson Entertainment, Fox Star Studios",06-09-2019,"Comedy, Drama",Nitesh Tiwari,145
Ittefaq,2017,Hindi,20.42,"Dharma Productions, Red Chillies Entertainment, B.R. Studios",14-02-2017,Thriller,Sanjay Khanna,107
Jersey,2022,Hindi,2.93,"Brat Films Production, Dil Raju Productions, Allu Entertainment, Sithara Entertainments",22-04-2022,"Family, Sports",Gowtam Tinnanauri,170
Mardaani 2,2019,Hindi,3.8,Yash Raj Films,13-12-2019,"Action, Crime",Gopi Puthran,105
Mission Raniganj,2023,Hindi,2.8,"Pooja Entertainment India Ltd., Ajay Kapoor Productions",06-10-2023,"Biographical, Thriller",Tinu Suresh Desai,138
Sky Force,2025,Hindi,15.3,"Maddock Films, Jio Studios",24-01-2025,"Action, Patriotic","Sandeep Kewlani, Abhishek Anil Kapur",125
