Title,Year,Language
Code Name Abdul,2021,Hindi
Maassab,2021,Hindi
Chhota Bheem Himalayan Adventures,2016,Hindi
Kissebaaz,2019,Hindi
Kahan Shuru Kahan Khatam,2024,Hindi
Jolly LLB 3,2025,Hindi
Ghayal: Once Again,2016,Hindi
Sandeep Aur Pinky Faraar,2021,Hindi
Project Marathwada,2016,Hindi
Sikandar,2025,Hindi
Hukus Bukus,2023,Hindi
Pride,2024,Hindi
The Zoya Factor,2019,Hindi
Daas Dev,2018,Hindi
Pagglait,2021,Hindi
Hume Tumse Pyaar Kitna,2019,Hindi
Naam,2024,Hindi
Mirzya,2016,Hindi
The Mehta Boys,2025,Hindi
Mastiii 4,2025,Hindi
Kisi Ka Bhai Kisi Ki Jaan,2023,Hindi
Bob Biswas,2021,Hindi
Songs of Paradise,2025,Hindi
Motu Patlu: King of Kings,2016,Hindi
Drishyam 2,2022,Hindi
Zoo,2018,Hindi
Shaila,2025,Hindi
Global Baba,2016,Hindi
Ishq Click,2016,Hindi
One Two Cha Cha Chaa,2025,Hindi
Rock On 2,2016,Hindi
14 Phere,2021,Hindi
Dedh Lakh Ka Dulha,2022,Hindi
Tu Meri Poori Kahani,2025,Hindi
Rocky Aur Rani Kii Prem Kahaani,2023,Hindi
Pataakha,2018,Hindi
Goldfish,2023,Hindi
Ae Watan Mere Watan,2024,Hindi
7 Hours To Go,2016,Hindi
Ladki: Dragon Girl,2022,Hindi
Judgementall Hai Kya,2019,Hindi
Bhediya,2022,Hindi
Pathaan,2023,Hindi
The Sky Is Pink,2019,Hindi
Bhool Bhulaiyaa 3,2024,Hindi
Posham Pa,2019,Hindi
The Lady Killer,2023,Hindi
Monsoon Shootout,2017,Hindi
Kya Meri Sonam Gupta Bewafa Hai?,2021,Hindi
Aafat-E-Ishq,2021,Hindi
Vodka Diaries,2018,Hindi
De De Pyaar De 2,2025,Hindi
Genius,2018,Hindi
Bloody Ishq,2024,Hindi
Bhagwat Chapter One: Raakshas,2025,Hindi
Rocket Gang,2022,Hindi
Shaadi Teri Bajayenge Hum Band,2018,Hindi
Costao,2025,Hindi
Lahore Confidential,2021,Hindi
Namaste England,2018,Hindi
The Final Exit,2017,Hindi
Badhaai Do,2022,Hindi
Kill,2024,Hindi
Dil Juunglee,2018,Hindi
Hamare Baarah,2024,Hindi
Baadshaho,2017,Hindi
Pink,2016,Hindi
Bhanwarey,2017,Hindi
Dhak Dhak,2023,Hindi
Gurgaon,2017,Hindi
Battalion 609,2019,Hindi
Chaar Sahibzaade: Rise of Banda Singh Bahadur,2016,Hindi
Nail Polish,2021,Hindi
Dhadak 2,2025,Hindi
The Blueberry Hunt,2016,Hindi
Haddi,2023,Hindi
