Title,Year,Language,Genre,Production Company,Runtime (mins),Budget (INR),Director,Lead Cast,Release Date (India),MPAA Rating
Mom,2017,Hindi,Romance,,71,,Kwak Yeong-geun,"Kim In-ae, Choi Woo-suk-I, Eom Gi-yeong",,
Veer,2010,Hindi,"Action, Romance",Eros International,160,"10,43,75,000",Anil Sharma,"Salman Khan, Mithun Chakraborty, Jackie Shroff",26-01-2010,UA
Sooryavanshi,2021,Hindi,"Action, Crime, Thriller","Reliance Entertainment, Dharma Productions, Rohit Shetty Productionz",145,"1,08,55,00,000",Rohit Shetty,"Akshay Kumar, Katrina Kaif, Javed Jaffrey",05-11-2021,UA
Khajoor Pe Atke,2018,Hindi,Comedy,Welcome Friends Productions,119,,Harsh Chhaya,"Vinay Pathak, Manoj Pahwa, Suneeta Sengupta",18-05-2018,UA
Ishqeria,2018,Hindi,"Comedy, Romance",,118,,Prerna Wadhawan,"Neil Nitin Mukesh, Richa Chadha, Gurbani Judge",21-09-2018,N/A
Antardwand,2010,Hindi,Drama,,114,"1,75,35,000",Sushil Rajpal,"Raj Singh Chaudhary, Swati Sen, Akhilendra Mishra",,
Roohi,2021,Hindi,"Horror, Comedy","Maddock Films, Jio Studios",134,"34,23,50,000",Hardik Mehta,"Rajkummar Rao, Varun Sharma, Janhvi Kapoor",11-03-2021,UA
Yuvvraaj,2008,Hindi,Drama,"Eros International, Mukta Arts Ltd",159,,Subhash Ghai,"Salman Khan, Anil Kapoor, Katrina Kaif",21-11-2008,U
Desi Kattey,2014,Hindi,"Action, Drama",,139,,Anand Kumar,"Akhil Kapur, Jay Bhanushali, Suniel Shetty",26-09-2014,UA
Force,2011,Hindi,"Action, Crime, Drama, Thriller",,137,,Nishikant Kamat,"John Abraham, Genelia D'Souza, Raj Babbar",30-09-2011,UA
Morning Raga,2005,Hindi,,,,,,,,
Aashayein,2010,Hindi,Drama,,115,,Nagesh Kukunoor,"John Abraham, Sonal Sehgal, Anaitha Nair",27-08-2010,N/A
Shaurya,2008,Hindi,"Drama, Thriller",Moser Baer,145,,Samar Khan,"Kay Kay Menon, Rahul Bose, Amrita Rao",04-04-2008,A
Dhaakad,2022,Hindi,"Action, Thriller","Soham Rockstar Entertainment, Asylum Films, Sohel Maklai Productions, Zee Studios",131,"91,20,56,973",Razneesh Ghai,"Kangana Ranaut, Arjun Rampal, Divya Dutta",20-05-2022,A
Almost Pyaar with DJ Mohabbat,2023,Hindi,"Romance, Drama, Music","Zee Studios, Good Bad Films",119,,Anurag Kashyap,"Alaya F, Karan Mehta, Sapna Pabbi",03-02-2023,UA
Gaslight,2023,Hindi,,,73,,Na'Im Freeman,,,
Hawaizaada,2015,Hindi,"Drama, Fantasy, History","Reliance Entertainment, Trilogic Digital Media, Film Farmers Production",157,"29,22,50,000",Vibhu Puri,"Ayushmann Khurrana, Mithun Chakraborty, Jeffrey Goldberg",30-01-2015,U
Thoda Pyaar Thoda Magic,2008,Hindi,"Drama, Comedy",Yash Raj Films,145,,Kunal Kohli,"Rani Mukerji, Saif Ali Khan, Ameesha Patel",,
Teree Sang,2009,Hindi,"Romance, Drama",Karol Bagh Film & Entertainment,132,"13,79,88,008",Satish Kaushik,"Ruslaan Mumtaz, Anupam Kher, Satish Kaushik",,
Sukhee,2023,Hindi,"Comedy, Drama","Abundantia Entertainment, T-Series",139,,Sonal Joshi,"Shilpa Shetty Kundra, Chaitannya Choudhry, Maahi Jain",22-09-2023,N/A
Happy New Year,2014,Hindi,"Action, Comedy, Crime, Adventure","Red Chillies Entertainment, Yash Raj Films",180,"2,08,75,00,000",Farah Khan,"Shah Rukh Khan, Sonu Sood, Deepika Padukone",24-10-2014,U
Shabd,2005,Hindi,"Romance, Thriller",,140,"20,87,50,000",Leena Yadav,"Sanjay Dutt, Aishwarya Rai Bachchan, Zayed Khan",04-02-2005,N/A
Masaan,2015,Hindi,Drama,"Sikhya Entertainment, Drishyam Films, Phantom Films, Macassar Productions, ARTE France Cinéma",109,,Neeraj Ghaywan,"Richa Chadha, Sanjay Mishra, Vicky Kaushal",24-07-2015,A
Prague,2013,Hindi,"Horror, Mystery, Thriller, Romance",,105,,Ashish R. Shukla,"Arfi Lamba, Elena Kazan, Barbora Jánová",26-09-2013,N/A
Love Day - Pyaar Ka Din,2016,Hindi,"Comedy, Drama",,117,,Sandeep Choudhary,"Sahil Anand, Ajaz Khan, Ananth Narayan Mahadevan",14-10-2016,N/A
Krrish,2006,Hindi,"Action, Science Fiction","Film Kraft, Golden Network Asia, Yash Raj Films, Adlabs Films",174,"41,75,00,000",Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra Jonas, Rekha",23-06-2006,U
Rang De Basanti,2006,Hindi,"Comedy, Drama, History, Romance","UTV Motion Pictures, Rakeysh Omprakash Mehra Pictures",157,"18,37,00,000",Rakeysh Omprakash Mehra,"Aamir Khan, Siddharth, Kunal Kapoor",26-01-2006,UA
Ugly,2014,Hindi,"Comedy, Horror",Sahamongkolfilm,109,,Ping Lumpraploeng,"Sudarat Butrprom, Theerachai Wimolchaireuk, Apa Bhavilai",,
Being Cyrus,2006,Hindi,,,,,,,,
Jaane Kahan Se Aayi Hai,2010,Hindi,"Comedy, Drama, Fantasy, Romance",People Tree Films,115,,Milap Zaveri,"Riteish Deshmukh, Jacqueline Fernandez, Vishal Malhotra",09-04-2010,U
Yun Hota Toh Kya Hota,2006,Hindi,Drama,,115,,Naseeruddin Shah,"Konkona Sen Sharma, Irrfan Khan, Ayesha Takia",21-07-2006,N/A
Matto Ki Saikil,2022,Hindi,"Family, Drama","Prakash Jha Productions, Shivdeva Films",95,,M. Gani,"Prakash Jha, Anita Choudhary, Idika Ray",16-09-2022,U
The Power,2021,Hindi,Horror,"Air Street Films, Stigma Films, BFI, Head Gear Films, Metrol Technology, Kreo Films",93,,Corinna Faith,"Rose Williams, Charlie Carrick, Gbemisola Ikumelo",,
Chocolate,2005,Hindi,"Adventure, Comedy, Family, Fantasy","Warner Bros. Pictures, Village Roadshow Pictures, The Zanuck Company, Plan B Entertainment, Theobald Film Productions",115,"12,52,50,00,000",Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly",,
Soni,2019,Hindi,"Drama, Crime",Jabberwockee Talkies,97,,Ivan Ayr,"Geetika Vidya, Saloni Batra, Vikas Shukla",,
Cirkus,2022,Hindi,Music,,72,,,Hurula,,
English Vinglish,2012,Hindi,"Comedy, Drama, Family","Lola's Productions, Eros International, Curbside Films, Hope Productions",134,"23,71,40,000",Gauri Shinde,"Sridevi, Adil Hussain, Mehdi Nebbou",05-10-2012,U
Jashnn,2009,Hindi,"Drama, Music, Romance",,127,,Hasnain Hyderabadwala,"Adhyayan Suman, Anjana Sukhani, Shahana Goswami",17-07-2009,N/A
Student of the Year,2012,Hindi,"Comedy, Drama, Romance","Dharma Productions, Red Chillies Entertainment",146,"70,07,25,487",Karan Johar,"Sidharth Malhotra, Varun Dhawan, Alia Bhatt",19-10-2012,U
Bekhudi,2021,Hindi,"Romance, Thriller","Dreamspark Movies, Vijay Arts",122,,Amit Kasaria,"Adhyayan Suman, Anurag Sharma, Dev Sharma",29-10-2021,UA
Helmet,2021,Hindi,"Comedy, Drama","DM Movies, Sony Pictures Networks Productions, Sony Pictures Films India",105,,Satramm Ramani,"Aparshakti Khurana, Pranutan Bahl, Abhishek Banerjee",,
Mumbai Godfather,2005,Hindi,,,,,,,,
Chal Chala Chal,2009,Hindi,"Drama, Comedy, Romance",,138,,,"Om Puri, Govinda, Rajpal Yadav",06-02-2009,N/A
Zindagi Jalebi,2013,Hindi,,,,,,,,
Hero,2015,Hindi,"Romance, Action, Drama","Mukta Arts Ltd, Salman Khan Films, Emmay Entertainment",145,,Nikkhil Advani,"Sooraj Pancholi, Athiya Shetty, Aditya Pancholi",11-09-2015,N/A
Hanuman: Da' Damdaar,2017,Hindi,Animation,,104,,Ruchi Narain,"Salman Khan, Javed Akhtar, Hussain Dalal",02-06-2017,UA
3 Idiots,2009,Hindi,"Drama, Comedy","Vidhu Vinod Chopra Productions, Vinod Chopra Films",171,"75,15,00,000",Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi",25-12-2009,UA
Mere Pyare Prime Minister,2019,Hindi,Drama,"Aham Brahmasmi Entertaiment, Rakeysh Omprakash Mehra Pictures, PVP Cinema",104,,Rakeysh Omprakash Mehra,"Anjali Patil, Makrand Deshpande, Atul Kulkarni",14-03-2019,UA
Prateeksha,2006,Hindi,"Drama, Romance",,133,,Basu Chatterjee,"Jimmy Shergill, Dia Mirza, Zarina Wahab",,
Badhaai Ho,2018,Hindi,"Comedy, Romance, Drama","Junglee Pictures, Chrome Pictures",125,"33,40,00,000",Amit Sharma,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao",19-10-2018,UA
Shakal Pe Mat Ja,2011,Hindi,"Comedy, Drama, Crime",,140,,Shubha Mudgal,"Umang Jain, Aamna Shariff, Saurabh Shukla",18-11-2011,N/A
Akela The Alone,2014,Hindi,,,,,,,,
Dybbuk,2021,Hindi,,,8,,Andrew Kevelson,"Brianna Cohen, Ron Erel",,
Anwar,2007,Hindi,"Drama, Romance","Dayal Creations, Cenchurion Films",144,,Manish Jha,"Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala",12-01-2007,A
Jawan,2023,Hindi,"Action, Crime, Thriller",Red Chillies Entertainment,169,"3,01,85,25,000",Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi",07-09-2023,UA
Badla,2019,Hindi,"Crime, Thriller, Mystery, Drama","Azure Entertainment, Red Chillies Entertainment, Universal Media",120,,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Tony Luke",08-03-2019,UA
The Kashmir Files,2022,Hindi,"History, Drama","Abhishek Agarwal Arts, Zee Studios",170,,Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar",11-03-2022,UA
Phir Hera Pheri,2006,Hindi,Comedy,"Base Industries Group, A.G. Films",155,"33,40,00,000",Neeraj Vora,"Akshay Kumar, Suniel Shetty, Paresh Rawal",09-06-2006,UA
Pappu Can't Dance Saala,2011,Hindi,,,,,,,,
Malamaal Weekly,2006,Hindi,"Comedy, Crime",Percept Picture Company,138,"7,01,30,481",Priyadarshan,"Riteish Deshmukh, Paresh Rawal, Om Puri",10-03-2006,U
The Accidental Prime Minister,2019,Hindi,"History, Drama","Pen Studios, Rudra Production, Bohra Bros Productions",111,,Vijay Ratnakar Gutte,"Akshaye Khanna, Anupam Kher, Suzanne Bernert",11-01-2019,U
Motu Patlu: King of Kings,2016,Hindi,"Animation, Adventure, Comedy, Family","Maya Digital Studios, Cosmos Entertainment, Viacom18 Studios",109,,Suhas Kadav,"Vinay Pathak, Saurav Chakraborty",,
Khosla Ka Ghosla,2006,Hindi,Comedy,UTV Motion Pictures,135,,Dibakar Banerjee,"Anupam Kher, Boman Irani, Parvin Dabas",22-09-2006,N/A
Bhagmati,2005,Hindi,,,,,,,,
Not a Love Story,2011,Hindi,"Crime, Drama, Thriller","Bohra Bros Productions, Paramhans Creations, Shreya Productions",104,,Ram Gopal Varma,"Deepak Dobriyal, Ajay Gehi, Mahie Gill",19-08-2011,UA
99 Songs,2021,Hindi,"Music, Drama, Romance","Ideal Entertainment, Y M Movies, Jio Studios",130,,Vishwesh Krishnamoorthy,"Ehan Bhat, Edilsy Vargas, Manisha Koirala",16-04-2021,U/A 16+
Shamitabh,2015,Hindi,"Comedy, Drama, Thriller","Wunderbar Films, Amitabh Bachchan Corporation Limited, Balaji Motion Pictures, Hope Productions",135,"30,89,50,000",R. Balki,"Dhanush, Amitabh Bachchan, Akshara Haasan",06-02-2015,UA
Teri Meri Kahaani,2012,Hindi,"Comedy, Drama, Romance","Kunal Kohli Productions, Eros International",117,,Kunal Kohli,"Shahid Kapoor, Priyanka Chopra Jonas, Omar Khan",22-06-2012,UA
Heartless,2014,Hindi,"Drama, Family, Romance",,131,,Shekhar Suman,"Adhyayan Suman, Ariana Ayam, Deepti Naval",07-02-2014,N/A
Paanch Ghantey Mien Paanch Crore,2012,Hindi,,,,,,,,
Goliyon Ki Raasleela Ram-Leela,2013,Hindi,"Drama, Romance","Eros International, Bhansali Productions",155,,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Richa Chadha",15-11-2013,UA
Water,2005,Hindi,"Drama, Romance","David Hamilton Productions, Flagship International, Noble Nomad Pictures, Echo Lake Entertainment, Fox Searchlight Pictures",115,,Deepa Mehta,"Lisa Ray, Sarala, John Abraham",09-09-2005,UA
Kambakkht Ishq,2009,Hindi,"Action, Comedy, Drama, Romance","Eros International, Nadiadwala Grandson Entertainment, Scrix",134,"1,33,60,00,000",Sabbir Khan,"Akshay Kumar, Kareena Kapoor Khan, Aftab Shivdasani",03-07-2009,N/A
Raajneeti,2010,Hindi,"Drama, Thriller","UTV Motion Pictures, Walkwater Media, Prakash Jha Productions",167,,Prakash Jha,"Ajay Devgn, Ranbir Kapoor, Manoj Bajpayee",04-06-2010,UA
Gandhi Godse  Ek Yudh,2023,Hindi,"Drama, History",Santoshi Productions,130,,Rajkumar Santoshi,"Deepak Antani, Chinmay Mandlekar, Tanisha Santoshi",26-01-2023,N/A
Yatra,2007,Hindi,,SPS Arts & Entertainment Ltd,120,,Goutam Ghose,"Nana Patekar, Rekha, Deepti Naval",04-05-2007,N/A
Zid,2014,Hindi,"Thriller, Romance",,128,"12,99,50,048",Vivek Agnihotri,"Mannara Chopra, Karanvir Sharma, Shraddha Das",28-11-2014,A
PK,2014,Hindi,"Comedy, Drama, Science Fiction","Rajkumar Hirani Films, Vinod Chopra Films, UTV Motion Pictures",153,"1,08,55,00,000",Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Saurabh Shukla",19-12-2014,UA
Direct Ishq,2016,Hindi,"Action, Comedy, Romance",,130,,Rajiv S. Ruia,"Arjun Bijlani, Rajneesh Duggal, Nidhi Subbaiah",19-02-2016,N/A
Chor Mandli,2005,Hindi,,,,,,,,
The Adventures of Sinbad,2013,Hindi,"Animation, Adventure",Lodi Films (IN),110,,Shinjan Neogi,Sunil Tiwari,,
The Shaukeens,2014,Hindi,Comedy,"Cape Of Good Films, Cine1 Studios, Ashwin Varde Productions, Trilogic Digital Media",124,,Abhishek Sharma,"Akshay Kumar, Lisa Haydon, Anupam Kher",07-11-2014,N/A
Ghajini,2008,Hindi,"Action, Romance, Thriller",Geetha Arts,186,"75,98,50,000",A. R. Murugadoss,"Aamir Khan, Asin Thottumkal, Jiah Khan",25-12-2008,UA
Rustom,2016,Hindi,"Thriller, Drama, Crime","KriArj Entertainment, Zee Studios, Hari Om Entertainment",148,"51,05,48,142",Tinu Suresh Desai,"Akshay Kumar, Ileana D'Cruz, Esha Gupta",12-08-2016,N/A
Mission Istaanbul,2008,Hindi,"Action, Adventure","Popcorn Motion Pictures, Balaji Telefilms",125,,Apoorva Lakhia,"Zayed Khan, Vivek Oberoi, Shriya Saran",25-07-2008,UA
Rocketry: The Nambi Effect[c],2022,Hindi,,,,,,,,
Sunday,2008,Hindi,"Romance, Comedy","Fly High Films, Drexel Box Productions",71,,Travis Betz,"Devin Barry, Sarah Larissa Deckert",,
Mumbai Mast Kallander,2011,Hindi,"Action, Comedy, Crime",,112,,Musavir Jaleel,"Shilpa Shukla, Ashraf Ul Haq, Rajendra Sethi",14-01-2011,N/A
Sukhmani: Hope for Life,2010,Hindi,,,,,,,,
Samrat Prithviraj,2022,Hindi,"Action, Drama, History",Yash Raj Films,136,,Dr. Chandraprakash Dwivedi,"Akshay Kumar, Manushi Chhillar, Sanjay Dutt",03-06-2022,UA
Bunty Aur Babli,2005,Hindi,"Comedy, Crime, Romance",Yash Raj Films,170,,Shaad Ali,"Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan",27-05-2005,N/A
Raaz: The Mystery Continues,2009,Hindi,"Horror, Mystery",Vishesh Films,137,"52,18,75,000",Mohit Suri,"Emraan Hashmi, Kangana Ranaut, Adhyayan Suman",23-01-2009,UA
Zero,2018,Hindi,"Comedy, Drama","Katapult Film, Endorfilm, 42film, Mediawave 2000, Playtime",83,,Gyula Nemes,"Udo Kier, Krisztián Kovács, Martina Krátká",,
Hanuman,2005,Hindi,"Animation, Fantasy, Family",Percept Picture Company,138,,V.G. Samant,"Mukesh Khanna, Chiranjeevi, Shahnawaz Pradhan",21-10-2005,N/A
Guzaarish,2010,Hindi,"Drama, Romance","Prime Focus, UTV Motion Pictures, Bhansali Productions",126,,Sanjay Leela Bhansali,"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel",18-11-2010,UA
Ram Setu,2022,Hindi,"Action, Adventure, Drama","Cape Of Good Films, Abundantia Entertainment, Lyca Productions, Prime Video India",149,,Abhishek Sharma,"Akshay Kumar, Jacqueline Fernandez, Nushrratt Bharuccha",25-10-2022,UA
Dhoondte Reh Jaaoge,2009,Hindi,Comedy,UTV Motion Pictures,135,,Umesh Shukla,"Paresh Rawal, Kunal Khemu, Sonu Sood",,
"Love, Lies & Seeta",2012,Hindi,"Romance, Comedy",,100,,Chandra Pemmaraju,"Melanie Kannokada, Arjun Gupta, Lavrenti Lopes",18-05-2012,N/A
Staying Alive,2012,Hindi,Drama,,0,,Ananth Narayan Mahadevan,"Ananth Narayan Mahadevan, Saurabh Shukla, Chandan Roy Sanyal",03-02-2012,N/A
Don: The Chase Begins Again,2006,Hindi,"Action, Drama, Thriller",Excel Entertainment,178,"41,75,00,000",Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal",20-10-2006,UA
Madaari,2016,Hindi,"Thriller, Drama","Saptrishi Cinevision, Dore Films, Miraj Entertainment, Paramhans Creations",134,,Nishikant Kamat,"Irrfan Khan, Jimmy Shergill, Tushar Dalvi",10-06-2016,UA
Jogi,2022,Hindi,"Crime, Drama","AAZ Films, Offside Entertainment",116,,Ali Abbas Zafar,"Diljit Dosanjh, Kumud Mishra, Mohammed Zeeshan Ayyub",,
Kaafiron Ki Namaaz,2016,Hindi,,,,,,,,
Coat,2023,Hindi,"Drama, Family","Perfect Time Pictures Production, Brandex Entertainment, Black Panther Movies Ltd.",0,,Akshay Ditti,"Vivaan Shah, Sanjay Mishra, Sonal Jha",26-05-2023,N/A
Delhii Heights,2007,Hindi,"Drama, Comedy",,120,,R. Anand Kumar,"Jimmy Shergill, Neha Dhupia, Om Puri",29-03-2007,UA
Bell Bottom,2021,Hindi,"Action, Thriller","Emmay Entertainment, Pooja Entertainment",123,"79,62,41,554",Ranjit Tiwari,"Akshay Kumar, Huma Qureshi, Adil Hussain",19-08-2021,UA
Thar,2022,Hindi,"Western, Action, Thriller, Drama, Crime",Anil Kapoor Film & Communication Network,108,,Raj Singh Chaudhary,"Anil Kapoor, Harshvardhan Kapoor, Fatima Sana Shaikh",,
Sanak,2021,Hindi,"Action, Thriller","Zee Studios, Sunshine Productions",117,,Kanishk Varma,"Vidyut Jammwal, Rukmini Maitra, Chandan Roy Sanyal",,
Titoo MBA,2014,Hindi,,,111,,Amit Vats,"Nishant Dahiya, Pragya Jaiswal, Amit Mehra",21-11-2014,N/A
Bharat,2019,Hindi,"Action, History, Drama","Salman Khan Films, Reel Life Productions, T-Series",155,,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Disha Patani",05-06-2019,UA
Sonali Cable,2014,Hindi,"Drama, Romance",,127,,Charudutt Acharya,"Rhea Chakraborty, Ali Fazal, Anupam Kher",17-10-2014,UA
Judaa Hoke Bhi,2022,Hindi,"Horror, Thriller","Houseful Motion Pictures Production, K Sera Sera Vikram Bhatt Productions",114,,Vikram Bhatt,"Akshay Oberoi, Aindrita Ray, Meherzan Mazda",15-07-2022,A
Baat Bann Gayi,2013,Hindi,,,108,,Shuja Ali,"Ali Fazal, Gulshan Grover, Anisa Butt",11-10-2013,N/A
Dhadak,2018,Hindi,"Romance, Drama, Comedy","Zee Studios, Dharma Productions",138,"40,08,00,000",Shashank Khaitan,"Ishaan Khatter, Janhvi Kapoor, Ashutosh Rana",20-07-2018,UA
Pyar Ka Live Show,2014,Hindi,,,,,,,,
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,Hindi,"Crime, Drama",,94,,Soumitra Ranade,"Manav Kaul, Nandita Das, Saurabh Shukla",12-04-2019,N/A
Bezubaan Ishq,2015,Hindi,Music,,125,,Jaswant Gangani,"Mugdha Godse, Sneha Ullal, Nishant",03-07-2015,N/A
Koi Aap Sa,2005,Hindi,"Romance, Comedy, Drama",Balaji Telefilms,142,,Partho Mitra,"Aftab Shivdasani, Dipannita Sharma, Himanshu Malik",14-10-2005,N/A
Zanjeer,2013,Hindi,"Action, Crime, Drama","Prakash Mehra Productions, Flying Turtles, Rampage Motion Pictures, Reliance Entertainment",138,,Apoorva Lakhia,"Ram Charan, Prakash Raj, Priyanka Chopra Jonas",05-09-2013,UA
Umar,2006,Hindi,"Crime, Drama",Sujata Films,135,,Karan Razdan,"Jimmy Shergill, Shenaz Treasury, Kader Khan",17-05-2006,N/A
Royal Utsav[4],2009,Hindi,,,,,,,,
Tutak Tutak Tutiya,2016,Hindi,"Comedy, Horror","BLN Cinema, M. V. V. Cinema, Kona Film Corporation, Prabhu Deva Studios, Blue Circle Corporation",125,,A. L. Vijay,"Tamannaah Bhatia, Prabhu Deva, Sonu Sood",07-10-2016,U
Uunchai,2022,Hindi,"Comedy, Drama, Family","Rajshri Productions, Mahaveer Jain Films, Boundless Media",169,,Sooraj Barjatya,"Amitabh Bachchan, Anupam Kher, Boman Irani",11-11-2022,N/A
Non Stop Dhamaal,2023,Hindi,Comedy,,100,,,"Amitabh Bachchan, Annu Kapoor",18-08-2023,N/A
Singham Returns,2014,Hindi,Action,"Reliance Entertainment, Ajay Devgn FFilms",142,"1,08,55,00,000",Rohit Shetty,"Ajay Devgn, Kareena Kapoor Khan, Amole Gupte",15-08-2014,UA
Matru Ki Bijlee Ka Mandola,2013,Hindi,"Comedy, Drama",Vishal Bhardwaj Pictures,151,"54,27,50,000",Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",11-01-2013,UA
Chennai Express,2013,Hindi,"Romance, Comedy, Action","Red Chillies Entertainment, UTV Motion Pictures",141,"1,50,30,00,000",Rohit Shetty,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer",09-08-2013,UA
Badlapur,2015,Hindi,"Crime, Thriller, Action, Drama","Maddock Films, Eros International",134,"30,89,50,000",Sriram Raghavan,"Varun Dhawan, Nawazuddin Siddiqui, Huma Qureshi",20-02-2015,UA
Gauri: The Unborn,2007,Hindi,"Drama, Horror, Thriller",,98,,Akku Akbar,"Atul Kulkarni, Rituparna Sengupta, Anupam Kher",30-11-2007,UA
Drishyam,2015,Hindi,"Crime, Mystery, Thriller","Panorama Studios, Viacom18 Studios",163,"38,41,00,000",Nishikant Kamat,"Ajay Devgn, Tabu, Shriya Saran",31-07-2015,UA
Phoonk 2,2010,Hindi,"Horror, Thriller",Sarthak Movies,110,,Milind Gadagkar,"Sudeep, Ahsaas Channa, Neeru Bajwa",16-04-2010,A
Daddy Cool,2009,Hindi,Comedy,,0,,,"Markos Seferlis, Elena Tsavalia, Giannis Kapetanios",,
Dabangg 3,2019,Hindi,"Action, Comedy, Crime","Arbaaz Khan Productions, Salman Khan Films",150,,Prabhu Deva,"Salman Khan, Sonakshi Sinha, Saiee Manjrekar",20-12-2019,UA
Commando: A One Man Army,2013,Hindi,Action,"Reliance Entertainment, Sunshine Pictures",119,,Dilip Ghosh,"Vidyut Jammwal, Pooja Chopra, Jaideep Ahlawat",11-04-2013,UA
Viruddh... Family Comes First,2005,Hindi,"Drama, Family",,132,,Mahesh Manjrekar,"Amitabh Bachchan, Sharmila Tagore, Sanjay Dutt",22-07-2005,N/A
Jhoom Barabar Jhoom,2007,Hindi,"Drama, Romance",Yash Raj Films,138,,Shaad Ali,"Abhishek Bachchan, Lara Dutta, Preity Zinta",,
Jurm,2005,Hindi,"Crime, Drama, Mystery, Thriller",,150,,Vikram Bhatt,"Bobby Deol, Lara Dutta, Milind Soman",10-02-2005,A
Mohenjo Daro,2016,Hindi,"Adventure, Drama, History, Romance","UTV Motion Pictures, Ashutosh Gowariker Productions",155,"1,41,95,00,000",Ashutosh Gowariker,"Hrithik Roshan, Pooja Hegde, Kabir Bedi",12-08-2016,UA
Jaoon Kahan Bata Ae Dil,2019,Hindi,,,,,,,,
Cash,2007,Hindi,"Thriller, Action, Drama","Seven Entertainment, Adlabs Films Ltd., Sohail Maklai Entertainment Pvt Ltd, ASP White",137,,Anubhav Sinha,"Ajay Devgn, Suniel Shetty, Riteish Deshmukh",,
Chakallaspur,2017,Hindi,,,,,,,,
Love Sonia,2018,Hindi,Drama,"India Take One, Womark-Noorani Productions, Tamasha Talkies, Big Stuff, Zee Studios",126,,Tabrez Noorani,"Mrunal Thakur, Richa Chadha, Freida Pinto",14-09-2018,A
De Dana Dan,2009,Hindi,"Comedy, Crime","Venus Records & Tapes, Eros Worldwide",166,"66,80,00,000",Priyadarshan,"Akshay Kumar, Suniel Shetty, Katrina Kaif",27-11-2009,UA
Ek: The Power of One,2009,Hindi,"Action, Drama, Thriller",,146,,Sangeeth Sivan,"Bobby Deol, Shriya Saran, Kulbhushan Kharbanda",27-03-2009,UA
Bhool Bhulaiyaa 2,2022,Hindi,"Horror, Comedy","Cine1 Studios, T-Series",143,"70,14,00,000",Anees Bazmee,"Kartik Aaryan, Kiara Advani, Tabu",20-05-2022,UA
D,2005,Hindi,"Thriller, Crime, Drama","UTV Motion Pictures, K Sera Sera Limited, RGV Film Factory",107,,Vishram Sawant,"Randeep Hooda, Chunky Pandey, Rukhsar Rehman",03-06-2005,A
Risknamaa,2019,Hindi,,,,,,,,
Kyaa Kool Hain Hum 3,2016,Hindi,Comedy,,124,,Umesh Ghadge,"Tusshar Kapoor, Krishna Abhishek, Mandana Karimi",22-01-2016,A
Sultan,2016,Hindi,"Drama, Action, Romance",Yash Raj Films,170,"86,84,00,000",Ali Abbas Zafar,"Salman Khan, Anushka Sharma, Randeep Hooda",06-07-2016,UA
Rama Rama Kya Hai Dramaa?,2008,Hindi,,,,,,,,
Race 3,2018,Hindi,"Thriller, Action, Crime, Adventure","Salman Khan Films, Tips Industries",160,,Remo D'Souza,"Salman Khan, Anil Kapoor, Bobby Deol",15-06-2018,UA
Dedh Lakh Ka Dulha,2022,Hindi,,,,,,,,
The Ghazi Attack,2017,Hindi,"Action, War, Thriller, History","Matinee Entertainment, PVP Cinema",126,"15,86,50,000",Sankalp Reddy,"Kay Kay Menon, Rana Daggubati, Atul Kulkarni",17-02-2017,UA
Dear Zindagi,2016,Hindi,"Drama, Romance","Red Chillies Entertainment, Dharma Productions, Hope Productions",151,"35,90,50,000",Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor",24-11-2016,UA
Manorama Six Feet Under,2007,Hindi,"Thriller, Crime, Mystery, Drama",Shemaroo Entertainment,137,"33,40,00,000",Navdeep Singh,"Abhay Deol, Gul Panag, Raima Sen",21-09-2007,UA
The Big Bull,2021,Hindi,"Crime, Drama","Ajay Devgn FFilms, Anand Pandit Motion Pictures",154,,Kookie Gulati,"Abhishek Bachchan, Ileana D'Cruz, Sohum Shah",,
