Title,Year,Language,Run_Time_mins,Genre
Nibunan,2017,Tamil,,
Kuttrame Thandanai,2016,Tamil,,
Kadaisi Ulaga Por,2024,Tamil,,
Yevan,2023,Tamil,,
Rudhran,2023,Tamil,,
Asuravadham,2018,Tamil,,
Veetla Vishesham,2022,Tamil,,
Narathan,2016,Tamil,,
Ulkuthu,2017,Tamil,,
Rettai Kathir,2014,Tamil,,
Seema Raja,2018,Tamil,,
Saavi,2018,Tamil,,
Ramanujan,2014,Tamil,,
Panduvam,2014,Tamil,,
Annabelle Sethupathi,2021,Tamil,,
Pizza,2012,Tamil,,
Chennai 2 Bangkok,2019,Tamil,,
Rettai Vaalu,2014,Tamil,,
Naan Yaar,2016,Tamil,,
Petta Rap,2024,Tamil,,
Ravana Desam,2013,Tamil,,
Sillu Vandugal,2021,Tamil,,
Eppodhum Raja,2024,Tamil,,
Dhoni Kabadi Kuzhu,2018,Tamil,,
Chithirai Sevvaanam,2021,Tamil,,
Asuran,2019,Tamil,,
Dr. 56[e],2022,Tamil,,
Vu,2014,Tamil,,
Akku,2023,Tamil,,
Arakkonam,2012,Tamil,,
Enjoy,2022,Tamil,,
Mayilanji,2023,Tamil,,
Anaagarigam,2011,Tamil,,
Vidayutham,2016,Tamil,,
Vil Ambu,2016,Tamil,,
Kallathoni,2016,Tamil,,
Kanaga Durga,2016,Tamil,,
Peikku Kalyanam,2023,Tamil,,
7 Naatkal,2017,Tamil,,
Keeripulla,2013,Tamil,,
Yamuna,2013,Tamil,,
Vaadaa,2010,Tamil,,
Vaigai Express,2017,Tamil,,
Thappu,2011,Tamil,,
Uchathula Shiva,2016,Tamil,,
Hot Spot,2024,Tamil,,
Neethana Avan,2010,Tamil,,
Selfie,2022,Tamil,,
Bayam Oru Payanam,2016,Tamil,,
Kattappava Kanom,2017,Tamil,,
Kanchana 2,2015,Tamil,,
Paatti,2013,Tamil,,
Capmaari,2019,Tamil,,
Chandramukhi 2,2023,Tamil,,
Thittivasal,2017,Tamil,,
Kazhuvethi Moorkkan,2023,Tamil,,
Innisai Kavalan,2010,Tamil,,
Naduvan,2021,Tamil,,
Vajram,2015,Tamil,,
Pudhumugangal Thevai,2012,Tamil,,
Sankarankovil,2011,Tamil,,
Rukku,2017,Tamil,,
Kalla Parunthu,2012,Tamil,,
White Rose,2024,Tamil,,
Meiyazhagan,2024,Tamil,,
Strawberry,2015,Tamil,,
Ameerin Aadhi-Bhagavan,2013,Tamil,,
Meaghamann,2014,Tamil,,
Onaayum Aattukkuttiyum,2013,Tamil,,
50 Roova,2019,Tamil,,
Sarpatta Parambarai,2021,Tamil,,
Padai Soozha,2011,Tamil,,
Kollaikaran,2012,Tamil,,
Kumara,2011,Tamil,,
Sivaranjiniyum Innum Sila Pengalum,2021,Tamil,,
Theedhum Soodhum Endhan Mugavari,2023,Tamil,,
Appathava Aattaya Pottutanga,2021,Tamil,,
Theru Naaigal,2017,Tamil,,
Sri Sabari Ayyappan,2023,Tamil,,
Takkar,2023,Tamil,,
Mangai Maanvizhi Ambugal,2018,Tamil,,
Rajapattai,2011,Tamil,,
Ninaivellam Neeyada,2024,Tamil,,
Mangalapuram,2017,Tamil,,
Savarikkadu,2017,Tamil,,
Kaala,2018,Tamil,,
Osthe,2011,Tamil,,
Ulagammai,2023,Tamil,,
Laththi,2022,Tamil,,
Calls,2021,Tamil,,
Thirunaal,2016,Tamil,,
Mark Antony,2023,Tamil,,
Gulu Gulu,2022,Tamil,,
Paayum Oli Nee Yenakku,2023,Tamil,,
Baba Black Sheep,2023,Tamil,,
Kadhal Enakku Romba Pidikkum,2018,Tamil,,
Aramm,2017,Tamil,,
80s Buildup,2023,Tamil,,
I,2015,Tamil,,
Viruthachalam,2017,Tamil,,
Enkitta Mothathe,2017,Tamil,,
Nila Meedhu Kadhal,2013,Tamil,,
Web,2023,Tamil,,
Naangellam Edagoodum,2014,Tamil,,
Solla Matten,2013,Tamil,,
Onaaigal Jakkiradhai,2018,Tamil,,
Megha,2014,Tamil,,
Chennai 2 Singapore,2017,Tamil,,
Traffic Ramasamy,2018,Tamil,,
Writer,2021,Tamil,,
Chithiram Pesuthadi 2,2019,Tamil,,
Padam Parthu Kadhai Sol,2012,Tamil,,
Pragamiyam,2017,Tamil,,
Beast,2022,Tamil,,
Aindhaam Thalaimurai Sidha Vaidhiya Sigamani,2014,Tamil,,
Theethum Nandrum,2021,Tamil,,
Muthal Manavan,2014,Tamil,,
Anjaan,2014,Tamil,,
Virudhagiri,2010,Tamil,,
Nanjupuram,2011,Tamil,,
Settaikkaranga,2019,Tamil,,
Vaandu,2019,Tamil,,
96,2018,Tamil,,
Anbulla Manvizhiye,2012,Tamil,,
Maharani Kottai,2015,Tamil,,
Kannakkol,2018,Tamil,,
Kadhalicha Thappa,2022,Tamil,,
Thodraa,2018,Tamil,,
Nugam,2013,Tamil,,
Adithya Varma,2019,Tamil,,
Igloo,2019,Tamil,,
Chinnanjiru Kiliye,2021,Tamil,,
Theerkadarishi,2023,Tamil,,
Thirumanam,2019,Tamil,,
Imai,2017,Tamil,,
Jailer,2023,Tamil,,
Neethaane En Ponvasantham,2012,Tamil,,
Nanban,2012,Tamil,,
Uriyadi,2016,Tamil,,
Miss You,2024,Tamil,,
Iyakkunar,2015,Tamil,,
Naanum Oru Azhagi,2024,Tamil,,
Raayan,2024,Tamil,,
Boomer Uncle,2024,Tamil,,
Aangal Jakiradhai,2021,Tamil,,
Medai,2018,Tamil,,
Muthu Nagaram,2013,Tamil,,
Ennamo Nadakkudhu,2014,Tamil,,
Vishwaroopam,2013,Tamil,,
Maanaadu,2021,Tamil,,
Maalai Pozhudhin Mayakathilaey,2012,Tamil,,
Dada,2023,Tamil,,
Nadodi Paravai,2014,Tamil,,
Miriam Maa,2023,Tamil,,
Muran,2011,Tamil,,
Sagakkal,2011,Tamil,,
Sundarapandian,2012,Tamil,,
AGP Schizophrenia,2022,Tamil,,
Mynaa,2010,Tamil,,
Kolanji,2019,Tamil,,
O Kadhal Kanmani,2015,Tamil,,
Chithirai Thingal,2014,Tamil,,
Vandae Maatharam,2010,Tamil,,
Lineman,2024,Tamil,,
Virudhu,2019,Tamil,,
Ilai,2017,Tamil,,
Nagesh Thiraiyarangam,2018,Tamil,,
Thalaivan,2014,Tamil,,
Oru Mugathirai,2017,Tamil,,
Madrasapattinam,2010,Tamil,,
Karthikeyanum Kaanamal Pona Kadhaliyum,2018,Tamil,,
Paiyaa,2010,Tamil,,
Aranam,2024,Tamil,,
Aravaan,2012,Tamil,,
Ambuli,2012,Tamil,,
Palakkattu Madhavan,2015,Tamil,,
Amutha,2018,Tamil,,
Kuzhali,2022,Tamil,,
Siddu +2,2010,Tamil,,
Andaman,2016,Tamil,,
Thalaimuraigal,2013,Tamil,,
Idhayam Thiraiarangam,2012,Tamil,,
Vilai,2010,Tamil,,
En 6 Vaathiyaar Kaalpanthatta Kuzhu,2023,Tamil,,
Chennaiyil Oru Naal 2,2017,Tamil,,
Sokkali,2013,Tamil,,
Santharpam,2022,Tamil,,
Soozhnilai,2012,Tamil,,
Thanimai,2019,Tamil,,
Thalaikkavasamum 4 Nanbargalum,2023,Tamil,,
Sivappu Manjal Pachai,2019,Tamil,,
Pattu Vanna Rosavam,2010,Tamil,,
Bell,2023,Tamil,,
Sutta Pazham Sudatha Pazham,2016,Tamil,,
Marumunai,2014,Tamil,,
Kallattam,2016,Tamil,,
Vettaiyan,2024,Tamil,,
Tea Kadai Raja,2016,Tamil,,
Romeo Juliet,2015,Tamil,,
Arimapatti Sakthivel,2024,Tamil,,
Vallavanukkum Vallavan,2023,Tamil,,
Aandavan Kattalai,2016,Tamil,,
Poraali,2011,Tamil,,
Naalu Peruku Nalladhuna Edhuvum Thappilla,2017,Tamil,,
Yutha Satham,2022,Tamil,,
Lathika,2011,Tamil,,
College Road,2022,Tamil,,
House Owner,2019,Tamil,,
Kandaen,2011,Tamil,,
Oru Kanniyum Moonu Kalavaanikalum,2014,Tamil,,
Mankatha,2011,Tamil,,
Kanden Unnai Thanthen Ennai,2022,Tamil,,
Kaayam,2021,Tamil,,
Kadaikutty Singam,2018,Tamil,,
Naan Sigappu Manithan,2014,Tamil,,
Vellikizhamai 13am Thethi,2016,Tamil,,
Kaadhal Enbadhu Podhu Udamai,2023,Tamil,,
Partner,2023,Tamil,,
