Title,Year,Language,Run_Time_mins,Genre
Prateeksha,2006,Hindi,,
Badhaai Ho,2018,Hindi,124,Comedy
Shakal Pe Mat Ja,2011,Hindi,,
Akela The Alone,2014,Hindi,,
Dybbuk,2021,Hindi,,
Anwar,2007,Hindi,,
Jawan,2023,Hindi,169,"Action,Crime,Drama"
Badla,2019,Hindi,118,"Crime,Drama,Mystery"
The Kashmir Files,2022,Hindi,170,
Phir Hera Pheri,2006,Hindi,153,Comedy
Pappu Can't Dance Saala,2011,Hindi,,
Malamaal Weekly,2006,Hindi,137,"Comedy,Drama"
The Accidental Prime Minister,2019,Hindi,112,Biography
Motu Patlu: King of Kings,2016,Hindi,,
Khosla Ka Ghosla,2006,Hindi,,
Bhagmati,2005,Hindi,,
Not a Love Story,2011,Hindi,,
99 Songs,2021,Hindi,128,Musical
Shamitabh,2015,Hindi,155,
Teri Meri Kahaani,2012,Hindi,117,"Comedy,Drama"
Heartless,2014,Hindi,,
Paanch Ghantey Mien Paanch Crore,2012,Hindi,,
Goliyon Ki Raasleela Ram-Leela,2013,Hindi,,
Water,2005,Hindi,,
Kambakkht Ishq,2009,Hindi,142,"Action,Comedy"
Raajneeti,2010,Hindi,163,Drama
Gandhi Godse  Ek Yudh,2023,Hindi,,
Yatra,2007,Hindi,,
Zid,2014,Hindi,,
PK,2014,Hindi,153,"Comedy,Drama,Musical"
Direct Ishq,2016,Hindi,,
Chor Mandli,2005,Hindi,,
The Adventures of Sinbad,2013,Hindi,110,
The Shaukeens,2014,Hindi,,
Ghajini,2008,Hindi,186,"Action,Mystery"
Rustom,2016,Hindi,148,"Crime,Drama"
Mission Istaanbul,2008,Hindi,,
Rocketry: The Nambi Effect[c],2022,Hindi,,
Sunday,2008,Hindi,,
Mumbai Mast Kallander,2011,Hindi,,
Sukhmani: Hope for Life,2010,Hindi,,
Samrat Prithviraj,2022,Hindi,135,"Action,Drama,History"
Bunty Aur Babli,2005,Hindi,170,"Comedy,Drama"
Raaz: The Mystery Continues,2009,Hindi,151,"Horror,Mystery"
Zero,2018,Hindi,,
Hanuman,2005,Hindi,89,
Guzaarish,2010,Hindi,126,Drama
Ram Setu,2022,Hindi,,
Dhoondte Reh Jaaoge,2009,Hindi,,
"Love, Lies & Seeta",2012,Hindi,,
Staying Alive,2012,Hindi,93,"Drama,Music"
Don: The Chase Begins Again,2006,Hindi,,
Madaari,2016,Hindi,133,Drama
Jogi,2022,Hindi,,
Kaafiron Ki Namaaz,2016,Hindi,,
Coat,2023,Hindi,,
Delhii Heights,2007,Hindi,147,Drama
Bell Bottom,2021,Hindi,130,"Comedy,Drama"
Thar,2022,Hindi,,
Sanak,2021,Hindi,,
Titoo MBA,2014,Hindi,,
Bharat,2019,Hindi,150,"Action,Comedy"
Sonali Cable,2014,Hindi,127,Comedy
Judaa Hoke Bhi,2022,Hindi,,
Baat Bann Gayi,2013,Hindi,,
Dhadak,2018,Hindi,138,Drama
Pyar Ka Live Show,2014,Hindi,,
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,Hindi,,
Bezubaan Ishq,2015,Hindi,,
Koi Aap Sa,2005,Hindi,,
Zanjeer,2013,Hindi,,
Umar,2006,Hindi,,
Royal Utsav[4],2009,Hindi,,
Tutak Tutak Tutiya,2016,Hindi,138,Comedy
Uunchai,2022,Hindi,173,
Non Stop Dhamaal,2023,Hindi,,
Singham Returns,2014,Hindi,142,"Action,Crime"
Matru Ki Bijlee Ka Mandola,2013,Hindi,151,Comedy
Chennai Express,2013,Hindi,141,"Action,Comedy"
Badlapur,2015,Hindi,134,"Action,Crime,Drama"
Gauri: The Unborn,2007,Hindi,98,"Drama,Horror"
Drishyam,2015,Hindi,160,"Crime,Drama,Mystery"
Phoonk 2,2010,Hindi,,
Daddy Cool,2009,Hindi,,
Dabangg 3,2019,Hindi,160,"Action,Comedy,Crime"
Commando: A One Man Army,2013,Hindi,,
Viruddh... Family Comes First,2005,Hindi,132,Drama
Jhoom Barabar Jhoom,2007,Hindi,138,"Comedy,Drama,Musical"
Jurm,2005,Hindi,,
Mohenjo Daro,2016,Hindi,155,"Action,Adventure,Drama"
Jaoon Kahan Bata Ae Dil,2019,Hindi,,
Cash,2007,Hindi,,
Chakallaspur,2017,Hindi,,
Love Sonia,2018,Hindi,122,
De Dana Dan,2009,Hindi,162,Comedy
Ek: The Power of One,2009,Hindi,140,"Action,Crime,Drama"
Bhool Bhulaiyaa 2,2022,Hindi,143,Comedy
D,2005,Hindi,,
Risknamaa,2019,Hindi,,
Kyaa Kool Hain Hum 3,2016,Hindi,124,
Sultan,2016,Hindi,170,"Action,Drama,Romance"
Rama Rama Kya Hai Dramaa?,2008,Hindi,,
Race 3,2018,Hindi,160,Action
Dedh Lakh Ka Dulha,2022,Hindi,,
The Ghazi Attack,2017,Hindi,116,"Action,Drama,Thriller"
Dear Zindagi,2016,Hindi,151,Drama
Manorama Six Feet Under,2007,Hindi,,
The Big Bull,2021,Hindi,,
Mumbai Salsa,2007,Hindi,,
Thugs of Hindostan,2018,Hindi,,
Mickey Virus,2013,Hindi,,
Boyss Toh Boyss Hain,2013,Hindi,,
Ya Rab,2014,Hindi,,
Neeyat,2023,Hindi,,
Lipstick Under My Burkha,2017,Hindi,,
Will You Marry Me?,2012,Hindi,,
Sandeep Aur Pinky Faraar,2021,Hindi,,
3 Idiots,2009,Hindi,,
Chatrapathi,2023,Hindi,,
The Fakir of Venice,2019,Hindi,,
Chal Pichchur Banate Hain,2012,Hindi,,
Ada... A Way of Life,2010,Hindi,,
2.O,2018,Hindi,,
Bhagam Bhag,2006,Hindi,,
Jodhaa Akbar,2008,Hindi,,
Gunday,2014,Hindi,,
Revolver Rani,2014,Hindi,,
8 A.M. Metro,2023,Hindi,,
Kaun Kitney Paani Mein,2015,Hindi,,
